Chromosome  Population  theta rho y0  y1  y2  y3  y4
chr1  gough 0.0023726586258072256304  0.0028450624253615408935  5.675875485847646118  0.20390570645933597804  1.3326428116670343549 0.45116682923465190047  0.24012041311380369346
chr1  germany 0.0016250713569990098487  0.0016895693066558098265  7.0434544654711581657 0.0010308224133514752585  0.29388758182533619712  0.53432318053881766584   0.10041909113111774365
chr2  gough 0.0021033681074847047215  0.002464568156120392102 5.6823461320773667182 0.016644911511326680731 1.2961267610021962593 0.47374035910757333889  0.20204637764181110349
chr2  germany 0.0015965034308377912091  0.0020271026049067308525  8.4124197591047238376 8.1948735103062374046e-05 0.77382367085449876853  0.56936991231785782919  0.15057837331073781195
chr3  gough 0.0018665103109371198459  0.0018195966096447157168  6.9369954244389484543 6.8541460334542450507e-05 0.66989026983014343664  0.54419704507695276785  0.13761683639223923348
chr3  germany 0.0023924355836729034597  0.0023293907574676712448  6.1120420382675657578 0.19244609185276786989  1.2990390803497442462 0.45645615770482667051  0.22029035423452467124
chr4  gough 0.0021439675197796534412  0.0022902594723547280327  4.9955412014276525667 4.8585271947431438422e-06 0.4509472720481086383 0.54329365600727774765  0.10768857929315006627
chr4  germany 0.0021104902052717883047  0.001968910331090189484 6.2547289810231472273 0.00062842506487181348882 0.61955358371334168233  0.52670605612100451776  0.11709116079426647172
chr5  gough 0.0022737121347500811007  0.0024639490877567597586  5.652485606506677307  0.097479232519685807268 1.2176982506285247698 0.43207670573804235481  0.21654781042713758255
chr5  germany 0.0020570749322882725049  0.0019718022564457599564  6.8188143517224464318 0.020530513093728421092 0.96236465371858925799  0.4613275477172360528 0.1798281630830848854
chr6  gough 0.0031557345850925459102  0.4738936577677241857 7.1260387438318630871 0.67995638338725183925  1.0060198142875589333 1.4537327032737430432 0.072594545846876204487
chr6  germany 0.0026986203722772906903  0.42777877999734803538  8.8490181214760266215 0.26063352968125685916  0.96763723038938775911  1.3881074247000513289 0.070168416633618724276
chr7  gough 0.0024788400005767052998  0.002959812003219556599 4.7078298295450480282 0.062231856707587365762 0.55094903436028741517  0.56655972267380283469  0.094680298300977974724
chr7  germany 0.0024370635044083186621  0.0026365976073995911998  7.0897639394516369649 0.28472184280371520826  0.87324095668701895434  .42574805083023070651 0.16240696603983809099
chr8  gough 0.0020296936455767239718  0.0024391208770048532044  5.9786525665067511426 0.00038163189893257280783 1.1923972260439081872 0.45659444288776451781  0.20822137883650715384
chr8  germany 0.0017456566502336238328  3.5037391250522458286 14.084516543822276802 1.0760199717067620225e-12 0.4565913384216881421 1.8881127024845649753 0.050521127646676773637
chr9  gough 0.0021351240618702463023  0.0024168996781821347128  5.4569996847719304256 0.0011337104389251204378  1.2658236437854295531 0.44117596242265866291  0.20651653886271767457
chr9  germany 0.0021425511332522502971  0.0025366502092900701862  5.9603301935878683082 0.14163460426592183738  1.3578447248923204427 0.435470882109033397  0.21571147613260724385
chr10 gough 0.0019367388758645006329  0.0019751294117839940032  7.0335953328808651364 2.8452802596203281371e-05 0.90147068952777964501  0.50298747453775038974  0.16688976908455283032
chr10 germany 0.0019940001760951628698  0.0019140994288046038561  7.1924218089192590853 0.0051478138212867384851  0.99992871413546846604  0.49912622840517867351  0.16796595915133177845
chr11 gough 0.0018516018228291793862  0.0021018728088118537184  6.7426560460838436128 0.0004312389793261594672  0.97106390791496177695  0.54262246509615430501  0.15497032324166981621
chr11 germany 0.0021500739261214023984  0.0021931759312250483605  5.8700068084573011618 0.076354479191213020517 1.2304487794030096737 0.46740670546463414237  0.19294049236061988628
chr12 gough 0.002894583821706429947 0.30583502541331464286  7.0539566759690224274 0.37327050357653346335  1.2436162108071564525 1.3005825599987850261 0.078892250493910576203
chr12 germany 0.0024635183715959723533  0.0052430923656819434717  5.9417988759288062894 0.0064031964982830978303  0.41280385487966742009  0.6551087642198986094 0.073034257809284838792
chr13 gough 0.0023712545200373783341  0.0027571403665631109663  5.4268436576539231808 0.0031038024171815212227  1.4221857776764466053 0.33177949034339010437  0.24167102197884404724
chr13 germany 0.0024120014345471165948  0.0026744297368125049749  6.0785189486040405171 0.19467551956750547837  1.2604464867240252612 0.36800700081215237391  0.21397034175481910445
chr14 gough 0.0020250621614263555718  0.0027630504797536803267  7.0603769527425805919 0.00073342910380393090599 1.0876944218219783966 0.49346198273363806042  0.17221922474586778828
chr14 germany 0.0022985633271835766676  0.003007376757530497071 7.157519407663978761  0.1584734310891503517 1.1578327089504487635 0.45987368799516753493  0.18838502011872390596
chr15 gough 0.0022416830928598690566  0.0023394120380243314285  6.1158722275124945966 0.00024027711801037713582 1.263869592503076289  0.45328624852826338021  0.2074427945583443289
chr15 germany 0.0019873502722396419948  0.0019739733644304840142  7.3003375741168436974 9.6534621760960636987e-05 1.0116033014585070759 0.48816999723624421303  0.17645356103417436655
chr16 gough 0.0020431666510164177633  0.0017166058868702985078  6.2499090600559705777 0.0014716514252112072089  0.76562704745811971385  0.53830194592053526303  0.13635584782160364847
chr16 germany 0.0019696253007633547812  0.0016731594875922031762  6.712573450648952722  0.00087590768412015515294 0.79724238880851172606  0.55262749575704905869  0.13087787781834470113
chr17 gough 0.0022231608182096563447  0.29784282058986294439  8.211381001387495715  5.3088547740229030311e-10 1.0629535175470863351 1.4168164201252064771 0.063928786940637749581
chr17 germany 0.0021646825849719968614  0.31317139076272204612  9.0847135659804862939 1.1748656469209596497e-12 0.98573568882601891872  1.3614488217944706872 0.067947946006120071849
chr18 gough 0.0016879580182187056605  0.0017704156089814325654  6.9420427291068760312 0.00012579317789259124869 0.81800210306021992057  0.54416200903261746635  0.16350437466990203061
chr18 germany 0.0014872738700161089627  0.0015721009367606767274  8.2807199073542427925 5.4659892309819139164e-05 0.34398431036792259663  0.56219029434467282513  0.1091259855996523781
chr19 gough 0.0022849560526383219661  0.0024069548194456261495  6.0139844585224642159 0.067997627867950383163 1.1086448284940013664 0.45559089796653073901  0.16537544723674607594
chr19 germany 0.0020028995386284394187  0.0019357649883616008697  6.7234167670692546181 1.566636187327072075e-05  0.83289071279392157265  0.5109422589985831431 0.14494486133890854829
